Country,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Costs,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,FertilityRate,MaxCorporateTax,MaxPrivateTax,Happiness
China,104,4654,13.07,1.75,73.5,24.1,0.5,1.63,62.2,23.5,67,37,69,83,54,62,75,55,78.21,75.5,81.2,7.5,7.2,43.1,41.6,43.5,51.1,51.0,1.7,25,45,5.82
Colombia,83,5307,15.26,1.71,75.7,25.8,2.5,1.58,66.4,26.7,42,44,54,24,54,86,42,61,72.83,69.4,76.4,14.2,7.7,,,,,,1.8,35,39,5.63
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
Congo (Dem. Republic),64,316,14.48,1.68,60.2,21.4,0,1.56,55.0,22.6,31,8,2,28,54,94,19,80,63.52,57.0,61.5,42.0,9.7,,,,,,5.9,35,40,3.21
Cook Islands,,,,1.78,103.7,32.7,,1.67,92.8,33.3,,,,,,,,,,74.4,79.8,11.9,7.2,,,,,,,30,30,
Costa Rica,88,7480,15.01,1.74,80.9,26.8,1.5,1.60,71.7,28.0,71,66,57,78,53,60,42,,77.02,,,,,,,,,,1.8,30,25,6.61
Croatia,95,11642,14.77,1.81,91.3,28.0,2,1.67,74.7,26.9,71,59,78,96,50,66,42,50,76.42,73.4,79.6,9.4,16.2,55.1,47.5,43.9,47.5,40.8,1.5,18,40,6.13
Cuba,84,5538,15.87,1.73,76.0,25.3,1,1.60,66.8,26.1,,,,,,,,55,73.68,71.2,76.4,8.9,14.7,,,,,,1.6,30,50,
Cyprus,93,,,,,,1,,,,65,67,77,85,75,49,46,,81.20,,,,,,,,,,1.3,12.5,35,6.13
Czechia,96,15552,,1.81,91.9,28.1,,1.68,74.2,26.4,71,76,88,99,23,52,56,44,77.37,74.3,80.6,10.6,13.3,54.6,44.3,46.2,45.2,49.2,1.7,19,45.7,6.84
Denmark,98,53149,14.88,1.82,86.8,26.3,2.5,1.69,70.2,24.6,84,100,84,99,17,1,62,10,81.40,79.6,83.3,10.8,9.8,46.5,46.6,46.2,47.6,55.5,1.7,25,57.11,7.59
Dijbouti,,,,,,,,,,,48,21,16,71,62,65,32,70,62.30,,,,,,,,,,2.7,25,0,
Dominica,,4964,,1.80,80.7,25.0,,1.67,80.8,29.1,,,,,,,,,72.81,,,,,,,,,,1.9,25,35,
Dominican Republic,82,,,,,,1,,,,59,44,48,73,59,74,34,68,72.61,69.3,76.3,18.4,6.7,,,,,,2.3,27,25,5.57
East Timor,74,2073,,1.59,53.9,21.2,,1.52,49.0,21.2,,,,,,,,,,66.1,69.5,24.9,7.2,,,,,,,10,0,
Ecuador,79,4159,17.61,1.67,74.2,26.6,1,1.55,66.9,27.9,61,38,53,71,60,72,39,64,73.67,70.3,77.5,16.8,6.7,,,,,,2.4,25,35,5.56
Egypt,78,2175,15.69,1.73,83.1,27.8,,1.60,80.5,31.4,36,27,40,75,66,100,29,70,70.22,67.9,72.6,22.6,6.3,,,,,,3.3,22.5,22.5,4.17
El Salvador,72,2912,14.88,1.70,77.8,26.9,0.5,1.56,68.8,28.3,55,35,43,41,66,74,22,67,70.75,66.1,75.1,16.0,8.7,,,,,,2,30,30,6.12
Equatorial Guine,56,7625,,,,,,,,,,,,,,,,83,60.59,,,,,,,,,,4.5,35,35,
Eritrea,,,,1.70,58.8,20.3,0,1.57,52.2,21.1,,,,,,,,78,66.54,,,,,,,,,,4.1,34,0,
Estonia,100,13770,,1.82,89.9,27.0,1.5,1.68,73.7,26.0,71,90,78,90,17,46,48,26,76.74,72.4,81.3,10.0,14.0,51.0,38.1,43.3,45.3,55.9,1.7,0,58.4,6.46
Eswatini,,,,,,,,,,,,,,,,,,70,57.07,,,,,,,,,,3,27.5,0,4.40
Ethiopia,67,379,,1.68,56.5,20.1,0.5,1.57,51.6,21.0,16,29,12,38,81,96,26,,64.97,61.9,68.3,32.4,6.8,50.2,46.2,51.2,55.9,49.1,4.2,30,35,4.09
Fiji,,,,,,,,,,,,,,,,,,,,65.4,68.9,19.3,8.9,,,,,,2.8,20,20,
Finland,101,42706,13.77,1.80,86.3,26.6,2.5,1.66,71.0,25.7,86,100,87,96,17,16,52,13,81.93,79.3,84.7,9.0,10.4,,,,,,1.4,20,66.75,7.80
France,97,37610,15.74,1.78,82.6,26.0,1.5,1.64,66.0,24.4,73,85,91,85,41,31,84,28,82.32,79.3,85.5,10.9,9.7,54.6,46.9,51.5,46.9,50.0,1.9,26.5,49,6.66
French Polynesia,,,,1.78,93.8,29.6,,1.66,81.3,29.5,,,,,,,,,79.49,,,,,,,,,,,25,0,
Gabon,62,,,,,,0,,,,,,,,,,,71,65.82,,,,,,,,,,4,35,35,5.04
Gambia,55,648,,,,,,,,,49,36,21,73,57,92,25,66,62.08,,,,,,,,,,5.2,31,30,4.28
Georgia,86,2901,15.61,1.75,84.2,27.5,2,1.63,73.2,27.7,52,62,63,80,45,88,27,44,71.69,66.8,76.7,13.4,15.2,,,,,,2.1,0,0,5.11
Germany,100,39911,14.52,1.80,88.7,27.4,1.5,1.66,71.7,26.0,82,95,96,96,21,33,64,21,80.90,78.5,83.4,9.6,12.3,50.9,44.7,43.7,45.8,59.5,1.6,29.65,47.475,6.89
Ghana,61,1166,,1.69,64.9,22.6,0.5,1.59,63.3,25.2,42,49,25,88,56,99,29,,63.80,61.6,66.0,27.5,7.6,,,,,,3.9,25,0,4.61
Greece,91,21101,13.30,1.79,88.1,27.6,1.5,1.65,73.7,26.9,57,63,87,87,70,52,45,48,80.18,77.5,83.0,8.0,13.5,,,,,,1.4,22,44,5.93
Greenland,99,24486,,,,,1,,,,,,,,,,,,71.15,,,,,,,,,,,28,0,
Grenada,,,,1.78,79.3,25.1,,1.65,78.7,28.8,,,,,,,,,74.94,,,,,,,,,,2.1,,,
Guatemala,55,2830,,1.64,69.1,25.7,,1.51,61.9,27.3,51,26,35,61,49,61,33,76,69.24,,,,,,,,,,2.9,25,7,6.15
Guinea,56,,,,,,0,,,,36,19,6,66,55,71,26,75,,,,,,,,,,,4.7,25,0,5.07
Haiti,,,16.01,1.72,78.0,26.4,,1.60,62.1,24.2,,,,,,,,83,63.19,60.4,66.1,23.5,8.7,,,,,,2.9,30,30,
Honduras,,,,,,,,,,,43,24,35,40,83,75,29,77,70.12,,,,,,,,,,2.5,25,0,6.02
Hong Kong,106,35304,11.19,1.74,74.4,24.5,,1.60,61.1,23.8,81,82,100,99,49,44,47,24,85.49,83.2,87.9,5.0,6.9,55.9,48.0,45.5,42.4,53.0,1.1,16.5,15,5.31
Hungary,99,11391,14.99,1.76,87.6,28.2,2,1.62,70.1,26.6,65,56,79,96,43,71,57,58,74.47,71.1,78.0,9.7,16.1,57.3,42.0,46.4,46.0,45.9,1.6,9,0,6.04
Iceland,99,47106,,1.81,89.2,27.1,3,1.68,72.6,25.6,84,94,87,100,7,1,50,26,83.12,81.8,84.5,13.1,6.3,52.7,51.3,54.8,45.7,49.4,1.7,20,46,7.53
India,77,1163,13.71,1.66,59.6,21.7,1,1.55,52.5,21.9,53,46,30,68,62,100,27,60,67.24,65.8,68.9,16.4,9.4,43.6,55.5,59.5,59.3,55.1,2.2,22,39,4.04
Indonesia,80,2355,11.67,1.66,61.4,22.4,0,1.54,56.2,23.7,59,45,30,89,40,92,36,66,67.57,65.5,69.7,16.4,10.1,60.6,41.3,44.1,52.6,34.3,2.3,22,35,5.28
Iran,81,4545,11.95,1.75,77.3,25.3,1,1.61,70.5,27.2,18,13,54,65,58,20,34,75,73.88,71.2,76.8,13.7,6.4,,,,,,2.1,25,35,4.88
Iraq,88,3757,,1.73,83.2,27.8,1,1.58,74.4,29.7,23,13,41,50,37,89,22,77,70.38,68.2,72.4,27.4,4.8,,,,,,3.7,15,15,4.94
Ireland,95,43903,12.78,1.79,89.2,28.0,2,1.64,73.1,27.1,82,93,81,99,2,1,54,23,82.10,80.2,84.1,11.6,6.6,,,,,,1.8,12.5,52,6.91
Israel,93,29009,13.60,1.76,85.4,27.7,0,1.62,71.1,27.1,52,75,83,69,81,1,48,37,82.50,80.5,84.6,19.7,5.4,,,,,,3.1,23,50,7.47
Italy,95,32104,13.07,1.74,80.9,26.7,1,1.61,64.8,24.9,65,66,87,91,57,41,65,44,82.80,80.6,85.1,6.8,12.0,51.3,55.2,54.4,50.8,44.0,1.3,27.9,47,6.41
Ivory Coast,61,1289,,,,,,,,,46,36,12,68,53,87,30,,58.60,57.4,59.9,33.9,9.0,,,,,,4.6,25,0,5.05
Jamaica,74,,,,,,1,,,,56,52,42,45,73,70,32,56,70.50,,,,,,,,,,2,33.3,25,5.70
Japan,106,40964,13.56,1.72,69.5,23.6,1.5,1.58,54.8,21.9,86,88,92,99,54,29,46,27,84.45,81.5,87.6,6.6,11.7,57.5,39.5,40.8,53.5,53.7,1.4,29.74,55,6.13
Jordan,81,,,,,,,,,,55,46,59,86,51,79,32,,74.26,72.1,76.8,22.0,3.9,,,,,,2.8,20,25,4.12
Kazakhstan,89,6380,,1.74,80.0,26.3,1,1.61,69.3,26.6,57,35,68,80,40,94,38,64,70.23,66.3,74.0,23.5,9.6,,,,,,2.8,20,15,6.14
Kenya,74,939,,1.70,63.9,22.2,0.5,1.59,61.8,24.4,40,34,11,72,90,84,28,68,61.43,58.9,64.1,27.7,8.1,,,,,,3.5,30,35,4.49
Kiribati,,,,1.70,83.9,29.1,,1.61,80.3,31.1,,,,,,,,,67.42,,,,,,,,,,3.6,35,0,
Kuwait,80,37088,,,,,0,,,,70,45,72,89,31,60,23,,78.67,77.2,81.5,10.4,2.9,48.9,55.4,56.4,56.5,53.0,2.1,16,0,6.11
Kyrgyzstan,80,,,,,,0,,,,39,24,58,62,48,100,32,73,71.90,,,,,,,,,,3.3,10,0,5.83
Laos,83,,,1.62,59.5,22.6,0,1.53,53.7,23.0,50,20,33,80,48,100,29,69,68.06,66.2,70.1,22.0,6.6,,,,,,2.7,35,0,5.11
Latvia,95,,14.69,1.80,87.9,27.1,0.5,1.68,74.5,26.4,67,75,73,88,19,56,36,41,73.28,68.6,78.2,9.2,18.4,,,,,,1.6,0,31.4,6.21
Lebanon,82,,,1.78,88.9,28.0,0,1.63,73.4,27.5,14,21,58,68,71,46,9,76,75.05,72.8,77.3,14.9,8.3,51.9,53.4,52.6,44.6,45.2,2.1,17,25,2.39
Lesotho,68,,,,,,,,,,48,38,12,43,89,88,22,,53.06,,,,,,,,,,3.1,25,0,3.51
Liberia,,,,,,,0,,,,,,,,,,,74,60.75,,,,,,,,,,4.3,25,0,4.04
Libya,81,,13.74,,,,1,,,,,,,,,,,83,71.91,,,,,,,,,,2.2,24.5,0,5.33
Lithuania,95,11330,,1.80,88.1,27.1,1.5,1.67,73.1,26.1,67,78,82,88,20,60,36,38,74.34,69.9,79.0,8.3,17.0,,,,,,1.6,15,42.77,6.76
Luxembourg,100,71296,,1.78,86.2,27.2,3,1.65,69.7,25.7,94,97,86,99,25,7,58,23,82.75,80.7,84.9,10.5,7.0,,,,,,1.4,28.69,45.78,7.23
Macao,100,44072,,,,,,,,,89,69,100,98,48,51,56,,85.40,82.8,87.9,10.1,4.1,,,,,,1.2,12,12,
Madagascar,77,,,1.65,58.4,21.5,1,1.53,49.2,21.1,42,27,16,77,74,100,27,74,64.48,,,,,,,,,,4.1,20,0,4.02
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50
Malaysia,89,7665,11.49,1.68,71.5,25.2,0,1.57,64.0,26.1,70,56,58,95,44,90,45,53,74.88,72.7,77.4,15.2,6.0,50.7,47.7,51.9,55.9,48.5,2,24,41.5,6.01
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20
Maldives,,,,1.68,69.2,24.6,,1.54,62.4,26.3,,,,,,,,,79.92,79.1,81.0,14.1,3.0,,,,,,1.9,15,15,
Malta,,,,,,,,,,,83,69,91,98,75,52,55,,82.86,,,,,52.7,53.2,44.3,48.6,48.3,1.2,35,35,6.30
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72
Mauritius,87,7812,,1.73,73.6,24.6,,1.59,65.7,26.0,73,68,63,91,63,81,36,70,73.68,70.3,77.2,10.3,10.5,,,,,,1.4,15,15,5.90
Mexico,87,8845,14.92,1.70,79.3,27.5,1,1.57,70.7,28.5,48,33,45,42,82,61,61,69,70.21,66.1,74.9,14.9,9.4,,,,,,2.1,30,35,6.33
Micronesia,,,,1.69,81.1,28.3,,1.59,79.6,31.4,,,,,,,,,70.71,,,,,,,,,,3.1,21,0,
Moldova,91,,,,,,1,,,,41,43,62,83,40,80,26,61,68.85,,,,,,,,,,1.3,12,36,5.82
Mongolia,93,2241,12.77,1.70,74.7,25.8,0,1.60,67.8,26.6,56,42,62,82,44,90,34,67,70.97,66.5,75.7,21.4,6.1,,,,,,2.9,10,0,5.84
Montenegro,85,6056,,1.83,90.4,27.0,1.5,1.70,75.3,26.2,46,52,65,86,53,77,36,55,73.82,70.8,77.0,11.4,14.8,,,,,,1.7,9,12.65,5.72
Morocco,71,2567,,1.75,78.0,25.4,,1.61,68.7,26.6,53,38,48,82,81,84,31,62,74.04,71.9,76.4,17.5,6.2,50.7,48.4,47.5,48.6,44.5,2.4,31,38,4.90
Mozambique,71,,,,,,,,,,,,,,,,,74,59.33,,,,,,,,,,4.9,32,0,4.95
Myanmar,89,660,10.70,1.66,61.1,22.2,,1.54,54.7,23.0,22,11,30,21,50,100,20,77,65.67,62.5,69.0,17.1,9.8,,,,,,2.2,22,0,4.37
Namibia,67,,,,,,0.5,,,,,,,,,,,,59.27,,,,,,,,,,3.4,32,37,4.63
