Country,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Costs,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,FertilityRate,MaxCorporateTax,MaxPrivateTax,Happiness
Somalia,69,396,,1.70,65.3,22.5,1,1.59,60.4,23.8,,,,,,,,88,55.28,53.2,57.4,43.6,11.6,,,,,,,0,0,
South Africa,69,5941,,1.69,71.9,25.1,1,1.58,74.1,29.5,48,54,26,40,95,81,36,57,62.34,59.5,65.0,19.8,11.4,,,,,,2.4,28,45,5.28
South Korea,103,22805,13.16,1.75,74.7,24.4,0.5,1.63,61.0,23.1,83,77,92,89,56,41,42,37,83.53,80.6,86.6,5.1,6.2,49.4,49.2,49.2,55.7,51.6,1,24.2,53.4,5.95
Spain,95,26463,13.85,1.76,84.0,27.2,1.5,1.62,65.9,25.1,69,73,87,92,74,44,84,87,83.18,80.3,86.2,7.1,9.5,45.5,57.8,50.8,50.2,41.9,1.3,25,54,6.44
Sri Lanka,85,2442,10.89,1.67,63.1,22.5,0,1.55,57.3,23.7,37,42,60,81,57,100,12,40,76.40,73.1,79.5,14.0,7.4,,,,,,2.2,30,15,4.44
Sudan,77,1168,16.47,1.71,67.8,23.2,0,1.60,66.3,26.0,6,11,17,39,40,53,24,78,65.27,62.7,67.9,33.6,6.8,,,,,,4.4,15,0,
Sweden,98,49535,15.08,1.80,87.1,26.8,2.5,1.67,70.5,25.4,88,100,86,94,22,19,61,17,83.16,81.4,85.0,11.0,8.8,44.7,43.7,47.2,54.0,59.8,1.8,20.6,52,7.39
Switzerland,100,70399,14.35,1.79,85.5,26.8,2,1.64,63.9,23.8,92,99,93,99,35,1,56,18,83.85,81.9,85.9,10.3,8.2,50.2,42.2,44.5,49.1,62.7,1.5,17.92,59.7,7.24
Syria,76,4532,,,,,0,,,,,,,,,,,87,72.06,69.1,75.2,20.1,5.1,,,,,,2.8,22,15,6.54
Taiwan,106,,12.60,1.73,75.0,25.0,0,1.60,60.9,23.7,,,,,,,,32,,,,,,,,,,,,20,40,
Tanzania,,,,,,,,,,,,,,,,,,,,64.2,68.3,36.2,6.2,,,,,,,30,30,3.69
Tajikistan,87,,,,,,,,,,49,12,53,79,48,100,32,76,71.59,,,,,,,,,,3.6,25,25,5.33
Thailand,89,4260,11.45,1.71,69.8,23.8,0,1.59,63.3,25.0,53,40,69,80,46,90,46,64,78.72,74.5,83.0,9.0,7.9,,,,,,1.5,20,35,5.84
Togo,61,,,,,,,,,,43,29,13,73,50,85,24,70,,,,,,,,,,,4.3,27,0,4.14
Tokelau,,,,1.76,99.0,32.0,,1.66,92.5,33.7,,,,,,,,,,,,,,,,,,,,0,0,
Tonga,,,,1.75,93.7,30.7,,1.66,93.1,33.9,,,,,,,,,,,,,,,,,,,3.6,25,0,
Trinidad and Tobago,85,,,,,,0.5,,,,67,50,59,54,51,61,41,,,,,,,,,,,,1.7,30,30,
Tunisia,80,,,,,,0,,,,44,46,54,80,76,99,28,,,,,,,,,,,,2.2,30,35,4.50
Turkey,87,8840,12.99,1.76,84.0,27.2,2,1.61,75.0,28.8,31,35,60,96,62,95,43,64,76.03,73.0,79.1,14.7,6.4,58.2,45.9,42.3,50.6,41.6,2.1,25,40,4.61
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47
Tuvalu,,,,1.71,88.0,30.1,,1.63,84.6,31.8,,,,,,,,,,,,,,,,,,,,30,0,
Uganda,75,,,,,,0,,,,42,28,12,69,71,92,34,74,,,,,,50.8,52.2,52.5,47.8,47.7,5,30,0,4.43
Ukraine,91,2375,13.97,1.80,87.6,27.0,1.5,1.66,72.9,26.4,27,36,68,38,37,96,28,67,69.65,65.2,74.4,7.3,18.5,,,,,,1.3,18,44,5.07
United Arab Emirates,82,38644,,1.73,84.5,28.1,,1.60,75.6,29.5,83,64,65,87,62,51,46,33,78.71,77.2,80.9,10.3,1.9,,,,,,1.4,9,0,6.57
United Kingdom,99,40698,13.13,1.78,86.7,27.4,3,1.64,72.7,27.1,73,90,77,91,6,13,60,27,80.70,78.7,82.8,10.1,9.7,50.7,43.9,45.8,46.5,52.9,1.7,25,63.25,6.80
United States,97,49883,13.58,1.77,90.6,29.0,3,1.63,77.1,29.0,64,83,69,67,66,11,87,31,76.33,73.5,79.3,11.0,10.4,51.6,52.9,51.0,42.5,48.6,1.7,21,51.6,6.89
Uruguay,89,,,,,,1.5,,,,76,82,70,80,78,41,39,26,75.44,,,,,,,,,,2,25,30,6.49
Uzbekistan,88,,,,,,1,,,,47,23,56,81,53,100,36,69,70.86,68.3,73.4,25.9,5.0,,,,,,2.4,20,0,6.01
Venezuela,83,8025,13.33,,,,2.5,,,,,,,,,,,86,70.55,66.3,75.2,15.9,8.1,,,,,,2.3,34,34,5.21
Vietnam,91,1446,11.47,1.68,61.2,21.7,0,1.58,54.0,21.7,67,35,50,80,52,93,38,58,73.62,69.1,78.2,15.0,7.3,,,,,,2,20,35,5.76
Yemen,67,,12.72,1.63,62.5,23.6,0,1.54,56.9,24.0,,,,,,,,84,63.75,60.6,67.1,30.5,6.8,,,,,,3.8,20,15,4.20
Zambia,69,,15.78,,,,0,,,,44,32,11,81,68,86,25,67,61.22,58.5,63.9,34.5,7.0,,,,,,4.6,30,30,3.98
Zimbabwe,74,843,15.58,1.70,64.3,22.3,0,1.60,64.6,25.4,30,13,8,69,92,37,20,77,59.25,56.2,62.0,30.5,9.1,,,,,,3.6,25,45,3.20
