Country,Population,Fertility,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Cheapness,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,MaxCorporateTax,MaxPrivateTax,Happiness,Divorces,Homicide,SexualPartners,Religiosity
Burundi,13238559,4.9,72.09,,,1.67,60.5,21.8,0,1.55,51.5,21.5,22,10,9,68,77,89,15,80,61.66,,,,,,,,,,35,35,,,6.05,,
Cambodia,16944826,2.3,99.75,776,10.04,1.65,59.7,22.0,0,1.54,52.8,22.2,55,18,27,76,51,89,26,78,69.58,66.8,72.3,19.3,6.8,,,,,,20,20,43.9,,1.84,,
Cameroon,28647293,4.3,67.76,1234,16.67,1.71,69.0,23.6,0.5,1.60,64.3,25.1,,,,,,,,73,60.33,58.7,62.0,34.9,8.6,,,,,,31.5,35,49.7,,1.39,,90
Canada,38781291,1.5,99.52,40207,15.71,1.78,87.3,27.4,2.5,1.65,72.4,26.7,86,93,79,97,33,10,62,24,82.60,80.6,84.7,9.6,7.8,41.1,52.2,55.1,58.6,52.7,31,54,69.6,2.1,1.76,10.7,27
Capo Verde,598682,1.9,52.5,,,,,,,,,,,,,,,,,36,74.05,,,,,,,,,,25,27.5,,,,,
Cayman Islands,69310,,82.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8.22,,
Central African Republic,5742315,5.8,62.55,,,,,,,,,,,,,,,,,76,,,,,,,,,,,30,50,,,20.12,,
Chad,18278568,6.1,78.87,630,15.39,1.71,64.1,22.0,0.5,1.62,57.3,21.9,37,10,0,51,47,88,30,80,52.52,50.8,54.3,43.4,12.5,,,,,,20,0,44,,,,86
Chile,19629590,1.5,87.89,10195,14.59,1.73,82.8,27.8,1.5,1.59,71.5,28.2,63,77,65,84,47,62,50,34,78.94,76.5,81.4,11.8,7.4,56.9,43.2,42.6,48.9,38.4,27,35,63.3,0.7,4.40,10.1,41
China,1425671352,1.2,104.1,4654,13.07,1.75,73.5,24.1,0.5,1.63,62.2,23.5,67,37,69,83,54,62,75,58,78.21,75.5,81.2,7.5,7.2,43.1,41.6,43.5,51.1,51.0,25,45,58.2,3.2,0.53,3.1,3
Colombia,52085168,1.7,83.13,5307,15.26,1.71,75.7,25.8,2.5,1.58,66.4,26.7,42,44,54,24,54,86,42,60,72.83,69.4,76.4,14.2,7.7,,,,,,35,39,56.3,0.7,25.34,,77
Comoros,852075,3.8,77.07,,,,,,,,,,,,,,,,,80,,,,,,,,,,,35,0,,,,,
Congo,6106869,4.0,62.97,,,,,,,,,,,,,,,,,78,,,,,,,,,,,30,0,52.7,,,,
Congo (Dem. Republic),102262808,6.1,64.92,316,14.48,1.68,60.2,21.4,0,1.56,55.0,22.6,31,8,2,28,54,94,19,80,63.52,57.0,61.5,42.0,9.7,,,,,,35,40,32.1,,,,88
Cook Islands,17044,2.2,83.96,,,1.78,103.7,32.7,,1.67,92.8,33.3,,,,,,,,,,74.4,79.8,11.9,7.2,,,,,,30,30,,,3.49,,
Costa Rica,5212173,1.5,88.34,7480,15.01,1.74,80.9,26.8,1.5,1.60,71.7,28.0,71,66,57,78,53,60,42,45,77.02,,,,,,,,,,30,25,66.1,2.3,11.26,,76
Croatia,4008617,1.4,95.75,11642,14.77,1.81,91.3,28.0,2,1.67,74.7,26.9,71,59,78,96,50,66,42,50,76.42,73.4,79.6,9.4,16.2,55.1,47.5,43.9,47.5,40.8,18,40,61.3,1.5,0.58,7.5,42
Cuba,11194449,1.5,83.9,5538,15.87,1.73,76.0,25.3,1,1.60,66.8,26.1,,,,,,,,58,73.68,71.2,76.4,8.9,14.7,,,,,,30,50,,2.9,5.05,,
Cyprus,1260138,1.3,93.39,,,,,,1,,,,65,67,77,85,75,49,46,47,81.20,,,,,,,,,,12.5,35,61.3,2.6,1.26,,
Czech Republic,10495295,1.7,94.92,15552,,1.81,91.9,28.1,,1.68,74.2,26.4,71,76,88,99,23,52,56,43,77.37,74.3,80.6,10.6,13.3,54.6,44.3,46.2,45.2,49.2,19,45.7,68.4,2,1.01,9,7
Denmark,5910913,1.7,97.83,53149,14.88,1.82,86.8,26.3,2.5,1.69,70.2,24.6,84,100,84,99,17,1,62,10,81.40,79.6,83.3,10.8,9.8,46.5,46.6,46.2,47.6,55.5,25,57.11,75.9,2.7,,9.3,9
Dijbouti,1136455,2.7,68.41,,,,,,,,,,48,21,16,71,62,65,32,70,62.30,,,,,,,,,,25,0,,,,,89
Dominica,73040,1.6,66.03,4964,,1.80,80.7,25.0,,1.67,80.8,29.1,,,,,,,,44,72.81,,,,,,,,,,25,35,,1,26.59,,
Dominican Republic,11332972,2.2,82.05,,,,,,1,,,,59,44,48,73,59,74,34,65,72.61,69.3,76.3,18.4,6.7,,,,,,27,25,55.7,1.2,10.05,,78
East Timor,1445006,3.0,74,2073,,1.59,53.9,21.2,,1.52,49.0,21.2,,,,,,,,,,66.1,69.5,24.9,7.2,,,,,,10,0,,,,,
Ecuador,18190484,2.0,78.26,4159,17.61,1.67,74.2,26.6,1,1.55,66.9,27.9,61,38,53,71,60,72,39,66,73.67,70.3,77.5,16.8,6.7,,,,,,25,35,55.6,1.1,5.80,,76
Egypt,112716598,2.8,76.32,2175,15.69,1.73,83.1,27.8,,1.60,80.5,31.4,36,27,40,75,66,100,29,65,70.22,67.9,72.6,22.6,6.3,,,,,,22.5,22.5,41.7,2.3,2.55,,72
